BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,SEGMENT
2594.19,0.58,6896.89,1562.84,4866.22,3540.91,0.57,0.52,0.4,0.82,26,65,8428.4,709.09,1972.36,0.42,7,Moderate User
2956.38,0.89,4790.27,7206.27,933.94,3586.85,0.32,0.97,0.21,0.51,0,62,2341.95,6214.12,363.1,0.04,10,One-off Purchaser
1995.01,0.7,3017.58,7250.76,7856.13,4899.94,0.15,0.53,0.17,0.97,23,95,4946.83,14243.78,4478.56,0.35,12,Cash Advance User
273.81,0.2,4678.32,6829.94,4706.75,6128.99,0.44,0.32,0.29,0.25,13,26,1542.58,11827.62,2165.07,0.64,6,Cash Advance User
1675.99,0.43,2096.3,2274.41,4469.76,2810.34,0.78,0.45,0.28,0.18,23,63,3648.76,11725.8,4818.56,0.82,7,Moderate User
4014.27,0.49,9250.87,2151.34,18.54,5041.32,0.75,0.49,0.75,0.01,26,59,9880.76,13456.6,1113.37,0.44,7,High Spender
23.16,0.06,539.73,6663.41,8178.64,1631.74,0.65,0.28,0.59,0.08,14,55,18959.49,3074.67,278.5,0.49,7,Moderate User
1667.5,0.95,8654.17,1862.5,4928.37,4432.38,0.99,0.16,0.68,0.39,24,70,16384.12,14789.31,149.18,0.01,11,High Spender
1990.84,0.13,5113.59,6615.63,4398.95,4372.68,0.97,0.43,0.63,0.2,8,13,11096.77,6642.09,3077.59,0.87,12,Cash Advance User
2686.98,0.7,6189.46,4925.28,7613.85,7109.73,0.4,0.9,0.48,0.04,23,59,7150.84,12649.07,4186.84,0.98,6,Cash Advance User
4599.28,0.51,3026.06,3866.29,628.99,7166.76,0.19,0.26,0.93,0.23,21,92,1539.93,4569.12,3198.47,0.45,6,Cash Advance User
1731.73,0.03,9666.98,3002.32,3666.8,3897.69,0.46,0.36,0.82,0.73,22,39,2087.37,9756.83,4118.61,0.3,7,High Spender
1734.77,0.92,2818.51,9475.77,5757.34,196.8,0.84,0.76,0.21,0.74,3,19,14899.07,939.35,2588.4,0.18,10,Moderate User
3687.51,0.85,5888.78,5080.94,4605.78,6756.98,0.46,0.08,0.42,0.15,23,50,11346.18,14378.22,567.21,0.72,7,Cash Advance User
2261.09,0.52,9934.17,5612.52,1816.39,4.98,0.34,0.83,0.29,0.94,0,4,3311.91,1755.29,4027.63,0.41,12,High Spender
1123.02,0.23,8810.94,9492.56,2992.77,3826.03,0.74,0.72,0.75,0.16,23,81,17381.52,10351.66,1815.36,0.34,8,High Spender
2262.2,0.12,5363.3,6538.77,3002.01,158.32,0.65,0.55,0.34,0.09,12,71,10838.58,92.82,3463.74,0.59,10,Moderate User
704.29,0.36,9903.75,9578.53,9919.71,2820.73,0.97,0.21,0.64,0.16,17,49,16904.68,7707.8,570.82,0.81,10,High Spender
881.93,0.26,7013.7,1063.67,3261.97,5094.12,0.55,0.09,0.29,0.14,6,70,15790.83,4841.6,1408.94,0.71,6,Cash Advance User
2491.84,0.51,2087.0,8466.4,2051.82,2969.61,0.97,0.23,0.17,0.63,7,87,7333.93,3485.34,2072.57,0.81,7,Moderate User
2094.63,0.97,4055.96,3354.15,8226.37,7415.13,0.29,0.76,0.01,0.16,3,59,14352.46,10708.86,4841.42,0.53,6,Cash Advance User
4574.23,0.57,3344.93,8104.88,4211.71,5126.11,0.86,0.93,0.99,0.63,19,85,19854.4,6648.57,3187.97,0.58,11,Cash Advance User
1811.97,0.89,3440.14,8556.37,4438.64,5171.55,0.35,0.74,0.22,0.28,13,19,15212.57,4763.51,3466.02,0.01,6,Cash Advance User
2902.94,0.65,7604.56,2714.88,5488.89,2995.5,0.81,0.53,0.83,0.25,27,26,6021.37,6729.96,3888.3,0.43,6,Moderate User
3161.32,0.48,5842.63,4088.31,5956.89,308.35,0.93,0.95,0.82,0.9,9,19,12245.41,4727.22,2464.07,0.8,7,Moderate User
65.47,0.85,380.93,7260.14,5905.56,5905.44,0.62,0.83,0.24,0.21,6,5,9226.11,6334.88,777.09,0.62,8,Cash Advance User
3317.69,0.47,8774.48,990.56,345.0,5729.96,0.73,0.66,0.42,0.86,6,7,6700.15,2468.57,1533.9,0.69,7,High Spender
890.18,0.87,2967.96,7555.34,8188.42,4241.0,0.96,0.04,0.84,0.3,13,78,6399.92,13871.28,1234.01,0.15,10,Cash Advance User
4805.35,0.29,9970.75,1104.73,1948.53,3330.14,0.38,0.29,0.69,0.99,10,21,9749.04,6311.53,4483.96,0.91,6,High Spender
743.31,0.13,9541.91,9144.56,2923.42,4306.54,0.51,0.31,0.37,0.98,27,34,6896.67,6990.87,3641.83,0.75,8,High Spender
2073.12,0.86,9405.31,2763.39,1734.3,5974.52,0.9,0.35,0.95,0.83,24,41,3806.15,10885.92,2762.99,0.9,7,High Spender
426.75,0.59,8111.28,5755.99,7670.77,5702.28,0.67,0.39,0.34,0.87,18,76,15381.94,1861.96,1217.97,0.29,9,High Spender
4984.37,0.89,2206.13,1171.54,5836.58,5264.88,0.87,0.94,0.21,0.82,11,91,6567.6,2928.96,779.59,0.58,6,Installment User
2510.98,0.94,5326.33,2694.93,7552.96,7230.22,0.62,0.74,0.15,0.63,7,19,8088.41,2254.22,2956.45,0.8,8,Cash Advance User
2976.93,0.05,2243.03,4039.55,6533.98,4879.11,0.74,0.69,0.7,0.81,19,92,18158.2,7191.49,643.93,0.42,6,Cash Advance User
335.38,0.5,2596.75,4870.49,1041.59,116.08,0.01,0.43,0.03,0.63,28,68,13581.98,8807.18,2263.71,0.34,10,Moderate User
3749.8,0.37,6109.52,0.67,3015.0,4944.51,0.34,0.34,0.85,0.84,4,2,18646.84,10719.61,2906.66,0.41,11,Cash Advance User
1049.53,0.63,408.34,8886.56,5072.65,4900.47,0.77,0.12,0.3,0.94,28,26,12425.07,14152.14,1779.72,0.64,11,Cash Advance User
4490.27,0.79,9694.59,76.75,3049.45,557.09,0.4,0.45,0.37,0.75,29,68,7755.44,1291.67,4635.2,0.37,11,High Spender
1025.7,0.28,9186.73,7736.85,2073.04,3421.84,0.36,0.21,0.8,0.96,27,59,5230.35,10092.19,458.84,0.22,9,High Spender
953.44,0.56,3807.68,4705.79,8698.12,5208.77,0.95,0.39,0.81,0.45,6,19,16678.52,11324.22,2111.5,0.51,9,Cash Advance User
182.75,0.71,5154.22,5238.8,7477.84,5636.01,0.55,0.16,0.4,0.93,19,22,9530.96,9967.66,4484.18,0.07,9,Cash Advance User
2360.33,0.13,4661.19,2082.65,3452.2,7144.4,0.19,0.34,0.55,0.23,28,95,13367.2,12825.14,883.73,0.9,10,Cash Advance User
2824.21,0.81,8822.0,6073.68,7650.12,6731.05,0.47,0.04,0.68,0.03,16,11,15096.68,7803.4,3140.42,0.93,8,High Spender
328.54,0.61,6886.02,5372.32,6275.39,932.41,0.52,0.01,0.69,0.13,12,54,5680.19,12271.47,2905.99,0.98,10,Moderate User
3877.64,0.95,2781.11,1642.36,37.86,4870.28,0.99,0.87,0.53,0.16,7,48,19547.21,1044.34,4522.33,0.76,7,Cash Advance User
2266.44,0.34,4468.41,2381.19,3802.62,4771.85,0.72,0.64,0.84,0.82,27,95,5475.58,9550.74,4425.44,0.8,8,Cash Advance User
2621.95,0.11,4289.66,669.04,2904.87,2429.98,0.52,0.59,0.84,0.4,27,79,15394.42,14112.99,4573.16,0.84,7,Moderate User
2203.81,0.51,9593.35,662.84,2179.09,1472.85,0.43,0.51,0.85,0.23,25,26,3879.43,6824.5,2904.02,0.17,6,High Spender
2003.82,0.09,1753.11,137.76,2515.89,1596.07,0.92,0.73,0.27,0.81,0,64,19515.48,1825.57,893.98,0.21,8,Moderate User
2798.2,0.97,895.76,2204.74,9423.65,1420.38,0.65,0.74,0.26,0.2,10,50,5778.23,5455.12,683.92,0.82,6,Moderate User
776.2,0.04,8806.19,6796.61,4863.17,6450.11,0.36,0.94,0.14,0.08,0,75,10792.65,12755.37,3852.12,0.42,6,High Spender
909.64,0.75,8966.86,3162.15,8477.09,1187.14,0.46,0.24,0.83,0.47,12,76,8008.82,1907.73,2096.39,0.79,6,High Spender
4308.93,0.53,8717.39,3427.34,2142.17,2115.14,0.28,0.79,0.06,0.07,13,71,18175.09,7909.1,1239.53,0.14,8,High Spender
4730.58,0.37,5109.77,1319.05,1744.04,1742.31,0.96,0.99,0.14,0.28,20,43,10917.83,12858.37,3339.81,0.05,9,Moderate User
1866.55,0.07,6597.44,5754.71,8887.9,5702.85,0.7,0.03,0.93,0.7,0,28,13767.38,11793.82,3874.59,0.4,7,Cash Advance User
1353.72,0.62,5633.63,3421.44,4957.05,1267.17,0.39,0.37,0.13,0.37,13,38,5172.06,7685.3,4545.58,0.27,10,Moderate User
3220.0,0.59,694.48,6763.17,8951.52,192.52,0.18,0.44,0.12,0.09,9,15,18972.51,9364.72,218.4,0.81,12,Low Usage
2043.67,0.28,5958.35,7414.59,630.29,2993.8,0.18,0.82,0.91,0.4,23,4,7746.39,4196.19,532.43,0.92,8,One-off Purchaser
126.93,0.91,136.14,5846.93,9164.36,2440.75,0.48,0.01,0.31,0.51,25,42,2898.7,13996.06,3398.43,0.65,6,Moderate User
780.76,0.3,3249.87,2760.7,4154.45,3181.64,0.47,0.6,0.88,0.25,2,56,5144.91,465.59,743.76,0.11,6,Moderate User
3579.86,0.45,9322.93,5086.08,1553.7,6030.53,0.42,0.89,0.38,0.17,20,96,4688.56,5482.88,639.8,0.02,11,High Spender
3294.62,0.54,3040.45,2519.31,6833.83,98.94,0.85,0.15,0.37,0.76,19,19,3055.47,5931.95,921.76,0.78,7,Moderate User
135.48,0.1,9398.27,9029.13,7969.03,301.66,0.98,0.12,0.14,0.07,2,35,10331.59,11633.65,1495.33,0.87,7,High Spender
1109.86,0.93,2501.34,7663.86,473.75,2045.16,0.35,1.0,0.92,0.96,24,95,6918.67,7093.94,4429.64,0.95,6,One-off Purchaser
1155.37,0.37,3145.62,4930.06,9871.96,7113.67,0.29,0.83,0.76,0.01,17,47,10394.29,12866.99,4013.95,0.72,10,Cash Advance User
3359.46,0.08,6284.07,9654.57,6970.27,1352.6,0.77,0.7,0.23,0.65,23,49,2505.46,4262.83,1673.99,0.03,8,Moderate User
98.55,0.39,7616.27,5467.55,3214.02,7976.3,0.45,0.4,0.73,0.13,18,1,12190.56,2662.63,3128.46,0.48,7,Cash Advance User
520.54,0.6,5013.88,3285.35,1512.94,6445.54,0.22,0.85,0.1,0.55,5,11,13002.09,3707.77,3442.72,0.49,10,Cash Advance User
3999.58,0.51,8821.16,954.67,3925.31,3649.09,0.18,0.92,0.52,0.19,27,38,5840.37,2597.88,4934.76,0.04,7,High Spender
892.72,0.69,402.4,5437.46,2205.66,5982.9,0.28,0.73,0.25,0.03,1,52,11812.47,5116.72,405.38,0.91,8,Cash Advance User
3263.73,0.06,9221.95,8604.17,4941.53,4150.52,0.0,0.4,0.85,0.86,29,62,6784.24,3646.59,1797.27,0.76,7,High Spender
1190.91,0.28,1963.08,8667.19,7818.93,4527.94,0.94,0.58,0.51,0.42,19,11,3976.56,9251.64,4730.1,0.21,10,Cash Advance User
497.21,0.82,8842.39,6045.67,6601.3,4646.17,0.43,0.1,0.92,0.28,3,33,13929.76,200.06,2660.71,0.65,12,High Spender
1215.86,0.08,4008.63,3934.38,4359.35,5189.76,0.08,0.16,0.59,0.95,1,33,16869.96,7568.6,3916.9,0.81,10,Cash Advance User
3611.33,0.86,8327.57,6502.96,1189.44,486.11,0.16,0.78,0.5,0.08,19,11,3918.03,5892.81,1151.0,0.85,12,High Spender
4278.48,0.09,6716.66,7621.4,9571.57,4931.98,0.32,0.03,0.69,0.35,2,16,17873.18,4982.6,1426.03,0.87,8,Cash Advance User
4151.1,0.83,1759.42,4116.25,2703.71,5735.59,0.55,0.05,0.78,0.18,17,5,12371.61,1129.23,4472.34,0.78,8,Cash Advance User
1985.92,0.36,9180.48,4762.54,2778.35,2485.79,0.7,0.51,0.02,0.99,17,29,15690.04,10912.0,3364.72,0.62,10,High Spender
3340.43,0.61,2455.17,6806.16,6455.02,7828.63,0.31,0.17,0.52,0.55,17,85,14170.59,5431.96,4175.68,0.09,9,Cash Advance User
1024.92,0.15,2441.4,8766.53,7705.1,1155.56,0.96,0.29,0.78,0.81,4,36,17785.28,14099.76,1070.43,0.26,8,Moderate User
1465.74,0.07,8141.79,7910.1,9841.53,7283.54,0.76,0.4,0.41,0.16,4,86,2134.87,14252.48,1206.18,0.53,11,High Spender
4481.68,0.22,1058.73,223.91,9691.64,5411.6,0.83,0.52,0.05,0.3,14,79,19750.75,8605.08,1463.8,0.37,8,Installment User
65.01,0.13,2220.36,1243.72,9137.61,5314.52,0.32,0.28,0.02,0.62,7,25,17721.31,5274.9,4126.35,0.71,12,Installment User
427.54,0.31,5036.78,8527.78,4353.14,7008.18,0.38,0.48,0.79,0.18,1,47,1823.08,5993.66,1086.76,0.12,8,Cash Advance User
1039.43,0.51,8304.77,8338.23,1666.7,6653.83,0.54,0.37,0.2,0.5,7,39,5796.8,4314.39,3350.48,0.94,11,High Spender
132.66,0.59,1474.84,3888.07,5844.71,2763.48,0.45,0.08,0.17,0.93,5,30,11170.7,10255.92,1619.72,0.34,11,Moderate User
907.18,0.79,5476.68,5842.78,172.57,5642.96,0.26,0.87,0.29,0.93,18,45,17269.47,8016.19,3052.25,0.52,7,One-off Purchaser
2915.21,0.66,7112.41,9058.45,1962.49,404.82,1.0,0.28,0.1,0.35,27,65,6934.08,6334.45,2141.99,0.34,10,One-off Purchaser
2107.12,0.61,8605.95,9115.59,25.29,3712.15,0.85,0.61,0.05,0.52,10,66,1946.23,7851.65,1294.0,0.8,9,High Spender
4463.36,0.41,9355.66,7830.93,1805.36,7502.22,0.24,0.57,0.87,0.2,20,87,15817.57,1822.78,3313.1,0.15,12,High Spender
4087.22,0.47,7846.4,2095.89,4747.57,2192.72,0.89,0.2,0.3,0.98,3,90,9245.65,9942.5,3470.92,0.35,11,Moderate User
1709.09,0.41,6528.28,7302.83,3933.24,399.77,0.59,0.03,0.58,0.52,20,36,15459.35,7723.35,3784.71,0.62,8,Moderate User
1297.12,0.84,4336.2,1010.98,3692.97,4663.56,0.01,0.86,0.86,0.21,21,99,7185.25,9224.59,4111.8,0.05,10,Cash Advance User
1898.46,0.23,1121.1,8939.38,8309.53,2840.8,0.35,0.5,0.98,0.84,19,16,16556.34,4163.79,1347.77,0.61,8,Moderate User
2951.47,0.01,7097.37,1491.49,6749.96,3037.47,0.03,0.41,0.69,0.42,25,93,7859.21,11145.58,1940.59,0.7,11,Installment User
1340.32,0.65,9927.37,6623.49,9364.32,4659.66,0.09,0.76,0.95,0.64,9,67,10051.98,7180.0,3259.12,0.95,10,High Spender
3120.74,0.2,7367.61,6102.43,4453.41,4972.71,0.18,0.03,0.42,0.84,7,58,18808.85,1480.48,3380.33,0.98,10,Cash Advance User
2047.06,0.89,167.11,7769.0,2722.3,3498.58,0.48,0.77,0.79,0.31,17,81,3813.23,10041.48,4960.41,0.26,12,Moderate User
2760.24,0.86,4962.6,5515.78,1226.85,4060.39,0.38,0.41,0.94,0.58,19,39,12061.66,1693.1,1037.23,0.67,7,One-off Purchaser
2180.63,0.08,6146.47,595.67,6720.27,7946.05,0.15,0.55,0.05,0.06,24,26,16462.99,891.11,2900.98,0.08,6,Installment User
1472.33,0.11,6896.74,7058.46,8417.41,7657.18,0.39,0.75,0.32,0.23,17,94,14135.15,11167.72,589.17,0.72,10,Cash Advance User
4742.27,0.5,7197.26,3831.55,1837.39,5658.54,0.3,0.55,0.74,0.14,26,11,9104.32,7068.74,627.69,0.33,6,Cash Advance User
3818.03,0.61,5581.08,3202.85,8787.53,1291.84,0.41,0.06,0.32,0.64,25,30,16247.7,380.58,2144.08,0.21,12,Moderate User
700.57,0.27,2233.6,9916.74,5262.76,2879.68,0.17,0.73,0.02,0.25,12,27,10105.35,7692.38,2786.44,0.02,9,Moderate User
4342.34,0.72,9422.01,5904.0,1440.81,7064.71,0.61,0.79,0.81,0.76,1,99,13233.57,13428.39,1036.88,0.53,10,High Spender
2437.16,0.59,6966.66,7107.19,6428.63,3388.53,0.04,0.46,0.16,0.76,9,25,7379.87,1422.75,278.29,0.18,7,Moderate User
4472.76,0.32,2368.4,5263.26,5200.53,7642.94,0.39,0.44,0.32,0.78,16,12,2091.85,5203.84,1705.19,0.58,12,Cash Advance User
3999.28,0.03,3223.22,7699.73,281.84,3906.41,0.89,0.25,0.91,0.13,16,81,4886.76,12454.42,1096.18,0.51,7,One-off Purchaser
2126.07,0.75,9219.28,7520.73,3992.43,6894.15,0.42,0.64,0.21,0.53,12,16,9882.33,3812.62,443.49,0.62,6,High Spender
112.35,0.21,8874.85,6571.46,7847.88,283.03,0.44,0.88,0.89,0.68,7,40,17984.04,1628.13,4126.56,0.24,7,High Spender
1343.39,0.83,4051.46,9977.43,5554.24,3473.31,0.07,0.66,0.42,0.32,13,31,3503.83,6652.61,2924.09,0.12,7,Moderate User
2708.17,0.42,383.07,4597.94,2820.41,5602.09,0.61,0.77,0.92,0.26,26,21,7014.84,12969.62,3611.75,0.78,6,Cash Advance User
3167.39,0.58,484.97,7061.92,9286.42,6908.52,0.94,0.84,0.88,0.72,2,98,7272.72,4873.55,3808.06,0.99,8,Cash Advance User
1289.44,0.87,2839.18,7977.78,2377.79,4877.06,0.29,0.23,0.42,0.35,11,79,15788.13,12546.95,752.27,0.38,11,Cash Advance User
696.78,0.86,6291.22,3760.35,2527.36,1386.1,0.39,0.4,0.92,0.25,0,49,11330.82,1703.82,1346.25,0.39,10,Moderate User
4174.65,0.37,5841.95,4571.75,3546.39,7086.35,0.59,0.44,0.63,0.56,14,2,8903.07,6107.95,277.55,0.87,11,Cash Advance User
4922.01,0.21,6338.28,9691.67,8945.38,4598.51,0.09,0.56,0.48,0.62,12,21,2190.77,7326.77,4442.92,0.17,12,Cash Advance User
2628.45,0.78,7172.83,322.91,5076.25,864.15,0.95,0.05,0.53,0.78,1,58,19438.96,5925.27,3953.0,0.35,6,Installment User
858.4,0.43,190.32,3352.96,6821.79,3710.77,0.47,0.59,0.06,0.04,26,94,16336.04,13310.5,1383.02,0.28,6,Moderate User
1361.54,0.19,1050.86,4862.13,9762.64,5591.55,0.12,0.09,0.81,0.17,3,15,2069.72,4688.88,1550.96,0.13,12,Cash Advance User
91.95,0.9,3594.83,14.65,7832.96,3608.13,0.34,0.81,0.29,0.78,19,65,1881.92,12962.72,2925.66,0.54,6,Installment User
4571.49,0.2,1548.6,8991.27,1726.0,6966.32,0.37,0.96,0.27,0.53,6,39,5800.3,12502.18,2982.38,0.63,6,One-off Purchaser
588.76,0.03,753.2,2862.44,7883.54,3389.55,0.35,0.29,0.72,0.81,9,55,1966.12,11689.35,4352.4,0.88,8,Moderate User
2882.58,0.02,6409.64,2577.05,7483.37,4667.62,0.69,0.51,0.37,0.45,27,85,15079.92,3825.12,147.82,0.65,12,Cash Advance User
1370.28,0.62,8153.36,8203.26,2326.17,1689.36,0.35,0.82,0.51,0.46,22,55,4896.62,5465.41,4619.54,0.05,8,High Spender
2770.89,0.66,7526.27,2779.83,3253.5,4101.49,0.32,0.31,0.42,0.38,24,77,17744.46,8435.17,4343.01,0.05,9,Cash Advance User
3257.1,0.31,8170.4,6576.23,7101.28,1782.86,0.32,0.16,0.5,0.69,12,13,12597.67,2233.89,2535.38,0.06,9,High Spender
4148.71,0.32,6658.57,8215.03,2383.93,1801.5,0.78,0.74,0.22,0.59,24,61,10226.72,6537.73,578.37,0.25,7,Moderate User
1032.11,0.34,7353.45,7924.77,2081.87,2239.22,0.31,0.7,0.88,0.39,20,68,3130.26,106.33,3102.19,0.25,8,Moderate User
54.98,0.68,2717.79,7819.51,7034.73,353.59,0.01,0.57,0.61,0.19,13,26,3480.02,3280.21,3101.69,0.78,11,Moderate User
684.43,0.06,9930.08,886.38,8805.95,1306.48,0.37,0.94,0.23,0.0,7,46,3302.57,13060.24,446.48,0.05,12,High Spender
4500.09,0.93,1831.66,798.47,750.17,3394.89,0.28,0.96,0.09,0.09,7,79,5023.79,157.38,4662.61,0.61,6,Moderate User
4369.45,0.22,2144.94,3067.7,4459.08,1048.48,0.91,0.86,0.54,0.11,17,67,2979.15,5590.81,3138.34,0.6,8,Moderate User
2987.07,1.0,2889.22,359.48,6071.75,1067.08,0.48,0.29,0.47,0.57,15,86,7098.08,13932.69,2712.8,0.51,10,Installment User
3002.58,0.17,9753.32,5004.3,6762.77,7743.45,0.23,0.23,0.93,0.76,16,73,16430.66,11849.69,2891.47,0.02,12,High Spender
3325.18,0.77,9882.89,3947.82,9961.96,3416.78,0.98,0.84,0.23,0.46,6,94,3783.7,2232.85,2642.21,0.83,8,High Spender
876.86,0.22,7948.94,5570.26,6826.92,3229.86,0.25,0.65,0.88,0.41,9,16,6687.47,4604.11,459.04,0.38,9,Moderate User
4572.06,0.08,6290.58,2987.89,6201.54,2141.89,0.76,0.4,0.77,0.13,26,26,9544.81,10935.26,3836.79,0.45,10,Moderate User
2093.85,0.87,5200.63,4857.54,9897.34,4099.58,0.65,0.41,0.48,0.9,11,50,12662.95,8256.05,22.29,0.67,12,Cash Advance User
1915.69,0.86,9706.21,3347.45,606.68,4768.52,0.46,0.85,0.87,0.74,21,58,5509.36,11950.7,4122.11,0.66,9,High Spender
2594.59,0.4,6956.23,1952.08,744.37,3345.48,0.41,0.16,0.86,0.42,4,58,12665.34,2494.39,724.24,0.28,11,Moderate User
234.83,0.7,9447.3,6493.67,5606.83,3150.47,0.87,0.94,0.71,0.1,19,78,4492.98,5527.43,1544.15,0.01,9,High Spender
831.42,0.56,3165.51,6734.36,3586.65,5603.41,0.48,0.63,0.1,0.85,9,23,12920.67,11351.4,1839.62,0.81,6,Cash Advance User
3690.17,0.85,3337.75,8292.32,966.98,7598.21,0.38,0.79,0.16,0.17,27,53,15982.45,6189.56,2198.92,0.76,10,One-off Purchaser
413.99,0.32,8547.25,8747.52,3064.49,7022.58,0.35,0.37,0.59,0.67,4,98,1439.68,9969.46,2335.85,0.64,11,High Spender
3015.76,0.52,1498.55,7044.62,6743.54,948.96,0.28,0.59,0.25,0.34,1,12,18785.8,2935.48,3171.84,0.93,11,Moderate User
1226.75,0.49,9459.28,6874.98,8806.15,5218.47,0.41,0.75,0.55,0.86,4,13,14542.23,9778.63,2267.46,0.2,9,High Spender
1946.48,0.35,5074.74,566.76,943.24,56.38,0.12,0.44,0.56,0.59,26,69,19048.04,2594.49,3768.39,0.1,9,Moderate User
1443.47,0.89,9264.14,1097.79,5401.45,5064.73,0.07,0.49,0.59,0.23,6,69,6028.73,11429.14,562.39,1.0,8,High Spender
1778.36,0.17,3367.93,8125.63,2961.16,3714.83,0.54,0.58,0.57,0.01,15,51,18828.29,8132.04,1564.83,0.87,9,Moderate User
3595.23,0.15,7159.59,2329.51,6673.26,3928.9,0.45,0.06,0.38,0.21,14,95,9617.77,6455.34,1231.35,0.04,7,Moderate User
1485.61,0.58,4828.75,3555.65,5494.51,4704.2,0.17,0.86,0.21,0.37,28,84,3880.19,1057.79,1564.54,0.33,11,Cash Advance User
2832.02,0.66,6268.04,1452.97,9267.11,5941.24,0.11,0.87,0.52,0.71,27,20,15008.35,9975.91,1001.07,0.52,8,Installment User
2380.25,0.19,5043.72,1951.52,376.84,5835.66,0.14,0.28,0.5,0.22,0,29,14199.16,2853.82,4353.9,0.63,7,Cash Advance User
3318.36,0.39,9671.16,7754.17,4700.37,355.83,0.32,0.88,0.28,0.26,17,53,18514.81,1829.99,2456.84,0.42,6,High Spender
4684.15,0.95,6921.05,2618.6,1927.6,5891.96,0.45,0.75,0.05,0.44,18,85,6775.64,2344.24,3117.79,0.09,9,Cash Advance User
3662.86,0.25,2513.19,4490.35,5367.82,6638.53,0.19,0.48,0.21,0.04,24,18,12955.46,2773.54,3767.29,0.47,10,Cash Advance User
1074.7,0.67,9096.77,1516.71,8535.79,545.38,0.76,0.35,0.55,0.77,23,58,19241.38,10270.1,1527.25,0.55,6,High Spender
155.92,0.74,2940.3,6779.3,9113.17,2583.57,0.19,0.4,0.54,0.08,0,46,17574.96,7306.06,4366.79,0.31,10,Moderate User
1311.32,0.45,3716.05,7282.7,3982.32,6336.51,0.12,0.53,0.13,0.74,8,65,16624.6,7008.33,2246.57,0.16,11,Cash Advance User
2975.39,0.94,1021.24,3616.92,8117.81,3944.85,0.99,0.41,0.61,0.27,9,96,17694.67,6943.34,3191.0,0.52,7,Moderate User
257.13,0.74,8999.67,7847.47,2805.08,5559.13,0.45,0.42,0.42,0.46,9,0,17041.34,6175.98,133.21,0.28,9,High Spender
2481.83,0.46,2861.12,2399.07,63.05,4018.53,0.17,0.2,0.65,0.41,14,87,8203.77,7730.03,2110.58,0.24,10,Cash Advance User
2984.21,0.57,2589.18,6919.04,8552.39,7825.78,0.89,0.71,0.89,0.25,6,51,1295.4,2407.31,1467.39,0.72,7,Cash Advance User
1671.22,0.69,9202.63,7299.65,1194.12,7489.54,0.23,0.61,0.31,0.26,24,20,19764.77,4252.51,175.35,0.56,12,High Spender
3854.56,0.59,8055.27,9686.57,176.11,2249.16,0.93,0.99,0.35,0.95,20,59,15722.38,1504.0,1754.33,0.74,10,High Spender
532.99,0.88,1410.79,2323.22,3537.98,3087.08,0.12,0.14,0.68,0.31,20,47,5290.95,12549.82,4192.17,0.45,11,Moderate User
375.69,0.36,7693.25,937.1,3793.8,3450.77,0.84,0.11,0.95,0.18,0,73,15211.83,14998.82,4462.2,0.08,8,Moderate User
3640.94,0.3,9130.33,2630.35,772.2,833.63,0.18,0.52,0.49,0.25,6,11,7926.91,10555.02,2850.68,0.49,12,High Spender
2477.46,0.21,785.11,1228.62,8141.83,3232.6,0.94,0.15,0.17,0.7,23,86,5688.14,716.39,4916.54,0.6,12,Installment User
3442.01,0.04,8252.15,1696.94,4055.93,6198.78,0.57,0.61,0.94,0.31,28,75,11753.1,7079.4,4617.47,0.78,12,High Spender
2174.14,0.04,5474.2,3341.15,4899.24,6775.17,0.19,0.2,0.47,0.17,0,79,1202.6,98.88,3348.84,0.58,11,Cash Advance User
1232.01,0.87,6691.97,4139.91,2646.25,7089.06,0.84,0.48,0.46,0.41,25,54,19553.0,4140.92,1004.52,0.8,7,Cash Advance User
4095.51,0.68,4928.54,9037.24,5115.07,116.47,0.39,0.61,0.54,0.12,29,2,18916.74,1205.36,604.92,0.51,8,Moderate User
3997.08,0.66,6978.03,1956.16,7667.31,6310.45,0.73,0.46,0.25,0.4,4,65,16012.18,6303.73,3300.45,0.61,6,Installment User
3473.48,0.61,340.98,9717.59,9061.83,4021.02,0.64,0.32,0.78,0.86,22,5,2015.29,6472.86,2036.41,0.02,11,Cash Advance User
1360.73,0.85,7627.07,8101.53,9705.3,1649.27,0.71,0.78,0.64,0.37,18,21,2422.66,2645.36,244.44,0.86,12,Moderate User
2951.15,0.48,333.44,8814.71,4267.24,3989.96,0.34,0.85,0.95,0.51,17,66,13317.19,12441.82,4508.46,0.17,10,Moderate User
1804.87,0.87,4553.0,9294.44,9900.34,6754.08,0.94,0.28,0.2,0.79,13,72,16196.19,11507.33,255.42,0.74,12,Cash Advance User
457.91,0.36,1509.65,7532.41,2949.56,3473.99,0.56,0.81,0.62,0.52,0,20,2027.83,12405.48,3956.8,0.44,7,Moderate User
4586.57,0.93,8235.74,7887.8,69.76,7923.69,0.08,0.39,0.52,0.05,10,36,11709.46,8193.7,2716.85,0.89,6,High Spender
